ob,precip
2007-07-30 14:56:00,0.254
2007-07-30 14:57:00,1.016
2007-07-30 14:58:00,0.7619999999999999
2007-07-30 14:59:00,1.016
2007-07-30 15:00:00,1.27
2007-07-30 15:01:00,1.016
2007-07-30 15:02:00,0.508
2007-07-30 15:03:00,1.016
2007-07-30 15:04:00,1.016
2007-07-30 15:05:00,1.5239999999999998
2007-07-30 15:06:00,1.5239999999999998
2007-07-30 15:07:00,1.5239999999999998
2007-07-30 15:08:00,1.27
2007-07-30 15:09:00,1.27
2007-07-30 15:10:00,1.5239999999999998
2007-07-30 15:11:00,1.27
2007-07-30 15:12:00,1.016
2007-07-30 15:13:00,0.7619999999999999
2007-07-30 15:14:00,1.016
2007-07-30 15:15:00,0.7619999999999999
2007-07-30 15:16:00,0.7619999999999999
2007-07-30 15:17:00,0.254
2007-07-30 15:18:00,1.016
2007-07-30 15:19:00,0.7619999999999999
2007-07-30 15:20:00,1.016
2007-07-30 15:21:00,0.7619999999999999
2007-07-30 15:22:00,0.7619999999999999
2007-07-30 15:23:00,0.7619999999999999
2007-07-30 15:24:00,0.7619999999999999
2007-07-30 15:25:00,0.7619999999999999
2007-07-30 15:26:00,1.27
2007-07-30 15:27:00,1.27
2007-07-30 15:28:00,1.5239999999999998
2007-07-30 15:29:00,1.27
2007-07-30 15:30:00,0.7619999999999999
2007-07-30 15:31:00,0.7619999999999999
2007-07-30 15:32:00,0.508
2007-07-30 15:33:00,0.508
2007-07-30 15:34:00,0.508
2007-07-30 15:35:00,0.254
2007-07-30 15:36:00,0.508
2007-07-30 15:37:00,0.254
2007-07-30 15:38:00,0.508
2007-07-30 15:39:00,0.254
2007-09-14 23:42:00,0.254
2007-09-14 23:43:00,0.7619999999999999
2007-09-14 23:44:00,0.508
2007-09-14 23:45:00,0.7619999999999999
2007-09-14 23:46:00,0.7619999999999999
2007-09-14 23:47:00,0.508
2007-09-14 23:48:00,0.508
2007-09-14 23:49:00,0.7619999999999999
2007-09-14 23:50:00,0.7619999999999999
2007-09-14 23:51:00,0.508
2007-09-14 23:52:00,0.508
2007-09-14 23:53:00,1.016
2007-09-14 23:54:00,0.508
2007-09-14 23:55:00,0.254
2007-09-14 23:56:00,0.254
2007-09-14 23:57:00,0.508
2007-09-14 23:58:00,0.254
2007-09-14 23:59:00,0.254
2007-09-15 00:00:00,0.254
2007-09-15 00:01:00,0.508
2007-09-15 00:02:00,0.508
2007-09-15 00:03:00,0.7619999999999999
2007-09-15 00:04:00,0.7619999999999999
2007-09-15 00:05:00,0.508
2007-09-15 00:06:00,0.508
2007-09-15 00:07:00,0.508
2007-09-15 00:08:00,0.7619999999999999
2007-09-15 00:09:00,0.508
2007-09-15 00:10:00,0.7619999999999999
2007-09-15 00:11:00,0.7619999999999999
2007-09-15 00:12:00,0.7619999999999999
2007-09-15 00:13:00,0.508
2007-09-15 00:14:00,0.254
2007-09-15 00:15:00,0.508
2007-09-15 00:16:00,0.508
2007-09-15 00:17:00,0.7619999999999999
2007-09-15 00:18:00,1.016
2007-09-15 00:19:00,0.508
2007-09-15 00:20:00,1.016
2007-09-15 00:21:00,1.016
2007-09-15 00:22:00,0.7619999999999999
2007-09-15 00:23:00,0.7619999999999999
2007-09-15 00:24:00,0.7619999999999999
2007-09-15 00:25:00,0.7619999999999999
2007-09-15 00:26:00,0.508
2007-09-15 00:27:00,0.508
2007-09-15 00:28:00,0.254
2007-09-15 00:29:00,0.254
2007-09-15 00:30:00,0.508
2007-09-15 00:31:00,0.254
2007-09-15 00:32:00,0.508
2007-09-15 00:33:00,0.508
2007-09-15 00:34:00,0.508
2007-09-15 00:35:00,0.508
2007-09-15 00:36:00,0.254
2007-09-15 00:37:00,0.7619999999999999
2007-09-15 00:38:00,0.7619999999999999
2007-09-15 00:39:00,0.7619999999999999
2007-09-15 00:40:00,0.508
2007-09-15 00:41:00,0.254
2007-09-15 00:42:00,0.254
2007-10-25 15:46:00,0.508
2007-10-25 15:47:00,0.7619999999999999
2007-10-25 15:48:00,1.27
2007-10-25 15:49:00,1.5239999999999998
2007-10-25 15:50:00,1.016
2007-10-25 15:51:00,1.016
2007-10-25 15:52:00,0.508
2007-10-25 15:53:00,0.7619999999999999
2007-10-25 15:54:00,0.7619999999999999
2007-10-25 15:55:00,0.7619999999999999
2007-10-25 15:56:00,0.7619999999999999
2007-10-25 15:57:00,1.27
2007-10-25 15:58:00,1.27
2007-10-25 15:59:00,1.016
2007-10-25 16:00:00,1.27
2007-10-25 16:01:00,1.5239999999999998
2007-10-25 16:02:00,1.5239999999999998
2007-10-25 16:03:00,1.27
2007-10-25 16:04:00,1.016
2007-10-25 16:05:00,1.016
2007-10-25 16:06:00,1.016
2007-10-25 16:07:00,0.7619999999999999
2007-10-25 16:08:00,0.7619999999999999
2007-10-25 16:09:00,1.016
2007-10-25 16:10:00,1.016
2007-10-25 16:11:00,0.7619999999999999
2007-10-25 16:12:00,0.508
2007-10-25 16:13:00,0.508
2007-10-25 16:14:00,0.254
2007-10-25 16:15:00,0.508
2007-10-25 16:16:00,0.254
2007-10-25 16:17:00,0.254
2007-10-25 16:18:00,0.254
2007-10-25 16:19:00,0.254
2008-02-18 03:24:00,0.508
2008-02-18 03:25:00,0.254
2008-02-18 03:26:00,0.254
2008-02-18 03:27:00,0.254
2008-02-18 03:28:00,0.254
2008-02-18 03:29:00,1.016
2008-02-18 03:30:00,1.27
2008-02-18 03:31:00,1.016
2008-02-18 03:32:00,1.016
2008-02-18 03:33:00,0.508
2008-02-18 03:34:00,0.508
2008-02-18 03:35:00,0.7619999999999999
2008-02-18 03:36:00,0.508
2008-02-18 03:37:00,0.508
2008-02-18 03:38:00,1.778
2008-02-18 03:39:00,1.27
2008-02-18 03:40:00,0.7619999999999999
2008-02-18 03:41:00,0.7619999999999999
2008-02-18 03:42:00,0.508
2008-02-18 03:43:00,0.508
2008-02-18 03:44:00,0.508
2008-02-18 03:45:00,0.254
2008-02-18 03:46:00,0.508
2008-02-18 03:47:00,0.254
2008-02-18 03:48:00,0.7619999999999999
2008-02-18 03:49:00,0.508
2008-02-18 03:50:00,0.7619999999999999
2008-02-18 03:51:00,0.508
2008-02-18 03:52:00,0.254
2008-02-18 03:53:00,0.7619999999999999
2008-08-10 21:55:00,0.254
2008-08-10 21:56:00,0.508
2008-08-10 21:57:00,1.27
2008-08-10 21:58:00,1.016
2008-08-10 21:59:00,0.7619999999999999
2008-08-10 22:00:00,0.508
2008-08-10 22:01:00,0.508
2008-08-10 22:02:00,0.7619999999999999
2008-08-10 22:03:00,0.7619999999999999
2008-08-10 22:04:00,0.508
2008-08-10 22:05:00,0.508
2008-08-10 22:06:00,0.508
2008-08-10 22:07:00,0.508
2008-08-10 22:08:00,0.508
2008-08-10 22:09:00,0.254
2008-08-10 22:10:00,0.508
2008-08-10 22:11:00,0.254
2008-08-10 22:12:00,0.7619999999999999
2008-08-10 22:13:00,0.508
2008-08-10 22:14:00,0.7619999999999999
2008-08-10 22:15:00,0.7619999999999999
2008-08-10 22:16:00,1.016
2008-08-10 22:17:00,0.508
2008-08-10 22:18:00,0.508
2008-08-10 22:19:00,1.016
2008-08-10 22:20:00,1.27
2008-08-10 22:21:00,1.27
2008-08-10 22:22:00,0.7619999999999999
2008-08-10 22:23:00,1.016
2008-08-10 22:24:00,0.7619999999999999
2008-08-10 22:25:00,0.508
2008-08-10 22:26:00,0.508
2008-08-10 22:27:00,1.016
2008-08-10 22:28:00,1.016
2008-08-10 22:29:00,0.508
2008-08-10 22:30:00,0.254
2008-08-10 22:31:00,0.254
2008-08-10 22:32:00,0.508
2008-08-10 22:33:00,0.508
2008-08-10 22:34:00,0.7619999999999999
2008-08-10 22:35:00,0.7619999999999999
2008-08-10 22:36:00,0.508
2008-08-10 22:37:00,0.7619999999999999
2008-08-10 22:38:00,0.508
2008-08-10 22:39:00,0.7619999999999999
2008-08-10 22:40:00,0.7619999999999999
2008-08-10 22:41:00,1.016
2008-08-10 22:42:00,0.7619999999999999
2008-08-10 22:43:00,0.254
2008-08-10 22:44:00,0.508
2008-08-10 22:45:00,0.7619999999999999
2008-08-10 22:46:00,0.508
2008-08-10 22:47:00,0.508
2008-08-10 22:48:00,0.508
2008-08-10 22:49:00,0.254
2008-08-10 22:50:00,0.254
2008-08-10 22:51:00,0.508
2008-08-10 22:52:00,0.254
2008-08-10 22:53:00,0.508
2008-08-10 22:54:00,0.508
2008-08-10 22:55:00,0.254
2008-08-10 22:56:00,0.508
2008-08-10 22:57:00,1.016
2008-08-10 22:58:00,1.016
2008-08-10 22:59:00,0.7619999999999999
2008-08-10 23:00:00,0.508
2008-08-10 23:01:00,0.508
2008-08-10 23:02:00,0.508
2008-08-10 23:03:00,0.254
2008-08-11 01:32:00,0.254
2008-08-11 01:33:00,0.254
2008-08-11 01:34:00,0.254
2008-08-11 01:35:00,0.254
2008-08-11 01:36:00,0.254
2008-08-11 01:37:00,0.254
2008-08-11 01:38:00,0.254
2008-08-11 01:39:00,0.254
2008-08-11 01:40:00,0.508
2008-08-11 01:41:00,0.508
2008-08-11 01:42:00,0.7619999999999999
2008-08-11 01:43:00,0.7619999999999999
2008-08-11 01:44:00,0.7619999999999999
2008-08-11 01:45:00,0.508
2008-08-11 01:46:00,0.508
2008-08-11 01:47:00,0.508
2008-08-11 01:48:00,0.508
2008-08-11 01:49:00,0.508
2008-08-11 01:50:00,0.254
2008-08-11 01:51:00,0.508
2008-08-11 01:52:00,0.7619999999999999
2008-08-11 01:53:00,1.016
2008-08-11 01:54:00,1.016
2008-08-11 01:55:00,0.7619999999999999
2008-08-11 01:56:00,0.508
2008-08-11 01:57:00,0.254
2008-08-11 01:58:00,0.254
2008-08-11 01:59:00,0.254
2008-08-11 02:00:00,0.254
2008-08-11 02:01:00,0.508
2008-08-11 02:02:00,0.254
2008-08-11 02:03:00,0.254
2008-09-05 22:18:00,0.508
2008-09-05 22:19:00,0.7619999999999999
2008-09-05 22:20:00,0.7619999999999999
2008-09-05 22:21:00,1.016
2008-09-05 22:22:00,0.7619999999999999
2008-09-05 22:23:00,0.7619999999999999
2008-09-05 22:24:00,0.508
2008-09-05 22:25:00,0.508
2008-09-05 22:26:00,0.508
2008-09-05 22:27:00,0.508
2008-09-05 22:28:00,0.508
2008-09-05 22:29:00,0.508
2008-09-05 22:30:00,0.254
2008-09-05 22:31:00,0.508
2008-09-05 22:32:00,0.254
2008-09-05 22:33:00,0.254
2008-09-05 22:34:00,0.254
2008-09-05 22:35:00,0.254
2008-09-05 22:36:00,0.254
2008-09-05 22:37:00,0.254
2008-09-05 22:38:00,0.508
2008-09-05 22:39:00,0.254
2008-09-05 22:40:00,0.254
2008-09-05 22:41:00,0.508
2008-09-05 22:42:00,0.254
2008-09-05 22:43:00,0.7619999999999999
2008-09-05 22:44:00,0.508
2008-09-05 22:45:00,0.7619999999999999
2008-09-05 22:46:00,0.254
2008-09-05 22:47:00,0.254
2008-09-05 22:48:00,0.508
2008-09-05 22:49:00,0.508
2008-09-05 22:50:00,0.508
2008-09-05 22:51:00,0.7619999999999999
2008-09-05 22:52:00,0.508
2008-09-05 22:53:00,0.508
2008-09-05 22:54:00,0.254
2008-09-05 22:55:00,0.508
2008-09-05 22:56:00,0.508
2008-09-05 22:57:00,0.254
2008-11-14 13:49:00,0.254
2008-11-14 13:50:00,0.254
2008-11-14 13:51:00,0.254
2008-11-14 13:52:00,0.508
2008-11-14 13:53:00,0.7619999999999999
2008-11-14 13:54:00,0.508
2008-11-14 13:55:00,0.7619999999999999
2008-11-14 13:56:00,1.016
