ob,precip
2009-08-11 19:44:00,0.7619999999999999
2009-08-11 19:45:00,1.778
2009-08-11 19:46:00,1.5239999999999998
2009-08-11 19:47:00,1.778
2009-08-11 19:48:00,1.27
2009-08-11 19:49:00,1.5239999999999998
2009-08-11 19:50:00,1.27
2009-08-11 19:51:00,1.27
2009-08-11 19:52:00,0.7619999999999999
2009-08-11 19:53:00,0.508
2009-08-11 19:54:00,0.7619999999999999
2009-08-11 19:55:00,0.508
2009-08-11 19:56:00,0.508
2009-08-11 19:57:00,0.7619999999999999
2009-08-11 19:58:00,0.7619999999999999
2009-08-11 19:59:00,0.508
2009-08-11 20:00:00,1.016
2009-08-11 20:01:00,1.016
2009-08-11 20:02:00,0.7619999999999999
2009-08-11 20:03:00,1.016
2009-08-11 20:04:00,0.508
2009-08-11 20:05:00,0.508
2009-08-11 20:06:00,0.7619999999999999
2009-08-11 20:07:00,0.7619999999999999
2009-08-11 20:08:00,0.7619999999999999
2009-08-11 20:09:00,0.508
2009-08-11 20:10:00,0.508
2009-08-11 20:11:00,0.254
2009-08-11 20:12:00,0.254
2009-08-11 20:13:00,0.254
2009-08-11 20:14:00,0.254
2009-08-11 20:15:00,0.254
2009-08-11 20:16:00,0.254
2009-08-11 20:17:00,0.254
2009-08-11 20:18:00,0.254
2009-08-11 20:19:00,0.508
2009-08-11 20:20:00,0.254
2009-08-11 20:21:00,0.254
