Date/Time (EST),Precipitation (mm)
2015-1-1 0:0:0,60.0
2015-1-1 0:2:0,57.96551724137931
2015-1-1 0:4:0,55.931034482758619
2015-1-1 0:6:0,53.896551724137929
2015-1-1 0:8:0,51.862068965517238
2015-1-1 0:10:0,49.827586206896555
2015-1-1 0:12:0,47.793103448275865
2015-1-1 0:14:0,45.758620689655174
2015-1-1 0:16:0,43.724137931034484
2015-1-1 0:18:0,41.689655172413794
2015-1-1 0:20:0,39.655172413793103
2015-1-1 0:22:0,37.620689655172413
2015-1-1 0:24:0,35.58620689655173
2015-1-1 0:26:0,33.551724137931032
2015-1-1 0:28:0,31.517241379310349
2015-1-1 0:30:0,29.482758620689658
2015-1-1 0:32:0,27.448275862068968
2015-1-1 0:34:0,25.413793103448278
2015-1-1 0:36:0,23.379310344827587
2015-1-1 0:38:0,21.344827586206897
2015-1-1 0:40:0,19.310344827586206
2015-1-1 0:42:0,17.275862068965523
2015-1-1 0:44:0,15.241379310344833
2015-1-1 0:46:0,13.206896551724142
2015-1-1 0:48:0,11.172413793103452
2015-1-1 0:50:0,9.1379310344827616
2015-1-1 0:52:0,7.1034482758620712
2015-1-1 0:54:0,5.0689655172413808
2015-1-1 0:56:0,3.0344827586206975
2015-1-1 0:58:0,1.0
