ob,station,precip
2013-01-01 09:28:00,LAKE,0.01
2013-01-01 09:47:00,LAKE,0.01
2013-01-01 10:00:00,LAKE,0.02
2013-01-01 10:02:00,LAKE,0.01
2013-01-01 10:17:00,LAKE,0.01
2013-01-01 10:57:00,LAKE,0.01
2013-01-01 11:00:00,LAKE,0.03
2013-01-01 11:03:00,LAKE,0.01
2013-01-01 11:20:00,LAKE,0.01
2013-01-01 12:00:00,LAKE,0.02
2013-01-01 13:27:00,LAKE,0.01
2013-01-01 14:00:00,LAKE,0.01
2013-01-01 17:18:00,LAKE,0.01
2013-01-01 17:51:00,LAKE,0.01
2013-01-01 18:00:00,LAKE,0.02
2013-01-01 18:27:00,LAKE,0.01
2013-01-01 18:50:00,LAKE,0.01
2013-01-01 19:00:00,LAKE,0.02
2013-01-01 19:09:00,LAKE,0.01
2013-01-01 19:57:00,LAKE,0.01
2013-01-01 20:00:00,LAKE,0.02
2013-01-01 20:44:00,LAKE,0.01
2013-01-01 21:00:00,LAKE,0.01
2013-01-01 21:04:00,LAKE,0.01
2013-01-01 21:54:00,LAKE,0.01
2013-01-01 22:00:00,LAKE,0.02
2013-01-01 22:48:00,LAKE,0.01
2013-01-01 23:00:00,LAKE,0.01
2013-01-01 23:27:00,LAKE,0.01
2013-01-01 23:44:00,LAKE,0.01
2013-01-02 00:00:00,LAKE,0.02
2013-01-02 00:14:00,LAKE,0.01
2013-01-02 00:19:00,LAKE,0.01
2013-01-02 00:30:00,LAKE,0.01
2013-01-02 00:49:00,LAKE,0.01
2013-01-02 01:00:00,LAKE,0.04
2013-01-02 01:02:00,LAKE,0.01
2013-01-02 01:14:00,LAKE,0.01
2013-01-02 01:21:00,LAKE,0.01
2013-01-02 01:29:00,LAKE,0.01
2013-01-02 01:56:00,LAKE,0.01
2013-01-02 02:00:00,LAKE,0.05
2013-01-02 02:16:00,LAKE,0.01
2013-01-02 02:20:00,LAKE,0.01
2013-01-02 02:30:00,LAKE,0.01
2013-01-02 02:35:00,LAKE,0.01
2013-01-02 02:41:00,LAKE,0.01
2013-01-02 02:44:00,LAKE,0.01
2013-01-02 02:50:00,LAKE,0.01
2013-01-02 02:59:00,LAKE,0.01
2013-01-02 03:00:00,LAKE,0.08
2013-01-02 03:06:00,LAKE,0.01
2013-01-02 03:11:00,LAKE,0.01
2013-01-02 03:15:00,LAKE,0.01
2013-01-02 03:21:00,LAKE,0.01
2013-01-02 03:27:00,LAKE,0.01
2013-01-02 03:30:00,LAKE,0.01
2013-01-02 03:38:00,LAKE,0.01
2013-01-02 03:56:00,LAKE,0.01
2013-01-02 04:00:00,LAKE,0.08
2013-01-02 04:07:00,LAKE,0.01
2013-01-02 04:22:00,LAKE,0.01
2013-01-02 05:00:00,LAKE,0.02
2013-01-02 05:29:00,LAKE,0.01
2013-01-02 05:53:00,LAKE,0.01
