ob,precip
2015-01-03 03:40:00,0.01
2015-01-03 03:47:00,0.01
2015-01-03 03:57:00,0.01
2015-01-03 04:00:00,0.03
2015-01-03 04:05:00,0.01
2015-01-03 04:23:00,0.01
2015-01-03 05:00:00,0.02
2015-01-03 06:53:00,0.01
2015-01-03 07:00:00,0.01
2015-01-03 12:49:00,0.01
2015-01-03 13:00:00,0.01
2015-01-03 13:36:00,0.01
2015-01-03 13:50:00,0.01
2015-01-03 14:00:00,0.02
2015-01-03 14:23:00,0.01
2015-01-03 15:00:00,0.01
2015-01-03 18:39:00,0.01
2015-01-03 19:00:00,0.01
2015-01-03 21:28:00,0.01
2015-01-03 22:00:00,0.01
2015-01-04 05:02:00,0.01
2015-01-04 06:00:00,0.01
2015-01-04 13:02:00,0.01
2015-01-04 14:00:00,0.01
2015-01-04 15:01:00,0.01
2015-01-04 15:02:00,0.03
2015-01-04 15:03:00,0.05
2015-01-04 15:04:00,0.07
2015-01-04 15:05:00,0.03
2015-01-04 15:06:00,0.01
2015-01-04 15:07:00,0.02
2015-01-04 15:08:00,0.01
2015-01-04 15:09:00,0.01
2015-01-04 15:10:00,0.05
2015-01-04 15:11:00,0.02
2015-01-04 15:12:00,0.04
2015-01-04 15:13:00,0.02
2015-01-04 15:15:00,0.01
2015-01-04 15:16:00,0.01
2015-01-04 15:17:00,0.01
2015-01-04 15:23:00,0.01
2015-01-04 15:30:00,0.01
2015-01-04 15:35:00,0.01
2015-01-04 16:00:00,0.43
2015-01-12 02:27:00,0.01
2015-01-12 03:17:00,0.01
2015-01-12 03:19:00,0.01
2015-01-12 03:20:00,0.01
2015-01-12 03:24:00,0.01
2015-01-12 03:26:00,0.01
2015-01-12 03:30:00,0.01
2015-01-12 03:39:00,0.01
2015-01-12 03:45:00,0.01
2015-01-12 03:55:00,0.01
2015-01-12 04:00:00,0.1
2015-01-12 04:13:00,0.01
2015-01-12 04:18:00,0.01
2015-01-12 04:28:00,0.01
2015-01-12 04:36:00,0.01
2015-01-12 04:46:00,0.01
2015-01-12 04:50:00,0.01
2015-01-12 04:55:00,0.01
2015-01-12 04:58:00,0.01
2015-01-12 05:00:00,0.1
2015-01-12 05:02:00,0.01
2015-01-12 05:07:00,0.01
2015-01-12 05:14:00,0.01
2015-01-12 05:19:00,0.01
2015-01-12 05:23:00,0.01
2015-01-12 05:25:00,0.01
2015-01-12 05:29:00,0.01
2015-01-12 05:31:00,0.01
2015-01-12 05:34:00,0.01
2015-01-12 05:36:00,0.01
2015-01-12 05:38:00,0.01
2015-01-12 05:40:00,0.01
2015-01-12 05:42:00,0.01
2015-01-12 05:43:00,0.01
2015-01-12 05:45:00,0.01
2015-01-12 05:46:00,0.01
2015-01-12 05:48:00,0.01
2015-01-12 05:50:00,0.01
2015-01-12 05:51:00,0.01
2015-01-12 05:53:00,0.01
2015-01-12 05:55:00,0.01
2015-01-12 05:57:00,0.01
2015-01-12 05:58:00,0.01
2015-01-12 05:59:00,0.01
2015-01-12 06:00:00,0.2
2015-01-12 06:00:00,0.01
2015-01-12 06:01:00,0.01
2015-01-12 06:03:00,0.01
2015-01-12 06:04:00,0.01
2015-01-12 06:05:00,0.01
2015-01-12 06:06:00,0.01
2015-01-12 06:08:00,0.01
2015-01-12 06:10:00,0.01
2015-01-12 06:12:00,0.01
2015-01-12 06:14:00,0.01
2015-01-12 06:15:00,0.01
2015-01-12 06:16:00,0.03
2015-01-12 06:17:00,0.01
2015-01-12 06:18:00,0.01
2015-01-12 06:19:00,0.02
2015-01-12 06:20:00,0.02
2015-01-12 06:21:00,0.02
2015-01-12 06:22:00,0.03
2015-01-12 06:23:00,0.02
2015-01-12 06:24:00,0.01
2015-01-12 06:25:00,0.01
2015-01-12 06:26:00,0.02
2015-01-12 06:27:00,0.01
2015-01-12 06:28:00,0.01
2015-01-12 06:30:00,0.01
2015-01-12 06:31:00,0.01
2015-01-12 06:33:00,0.01
2015-01-12 06:34:00,0.02
2015-01-12 06:36:00,0.01
2015-01-12 06:38:00,0.01
2015-01-12 06:39:00,0.01
2015-01-12 06:40:00,0.01
2015-01-12 06:41:00,0.01
2015-01-12 06:43:00,0.01
2015-01-12 06:45:00,0.02
2015-01-12 06:46:00,0.01
2015-01-12 06:47:00,0.01
2015-01-12 06:48:00,0.01
2015-01-12 06:49:00,0.01
2015-01-12 06:51:00,0.01
2015-01-12 06:52:00,0.03
2015-01-12 06:53:00,0.01
2015-01-12 06:54:00,0.01
2015-01-12 06:55:00,0.01
2015-01-12 06:56:00,0.03
2015-01-12 06:57:00,0.02
2015-01-12 06:58:00,0.04
2015-01-12 06:59:00,0.01
2015-01-12 07:00:00,0.7
2015-01-12 07:00:00,0.04
2015-01-12 07:01:00,0.02
2015-01-12 07:02:00,0.01
2015-01-12 07:03:00,0.01
2015-01-12 07:04:00,0.01
2015-01-12 07:05:00,0.01
2015-01-12 07:06:00,0.02
2015-01-12 07:07:00,0.02
2015-01-12 07:08:00,0.01
2015-01-12 07:09:00,0.01
2015-01-12 07:10:00,0.02
2015-01-12 07:11:00,0.03
2015-01-12 07:12:00,0.02
2015-01-12 07:13:00,0.03
2015-01-12 07:14:00,0.03
2015-01-12 07:15:00,0.03
2015-01-12 07:16:00,0.02
2015-01-12 07:17:00,0.02
2015-01-12 07:18:00,0.02
2015-01-12 07:19:00,0.02
2015-01-12 07:20:00,0.02
2015-01-12 07:21:00,0.01
2015-01-12 07:22:00,0.02
2015-01-12 07:24:00,0.01
2015-01-12 07:25:00,0.01
2015-01-12 07:26:00,0.02
2015-01-12 07:27:00,0.02
2015-01-12 07:28:00,0.02
2015-01-12 07:29:00,0.03
2015-01-12 07:30:00,0.01
2015-01-12 07:31:00,0.02
2015-01-12 07:32:00,0.01
2015-01-12 07:33:00,0.02
2015-01-12 07:34:00,0.01
2015-01-12 07:35:00,0.01
2015-01-12 07:36:00,0.01
2015-01-12 07:38:00,0.02
2015-01-12 07:39:00,0.03
2015-01-12 07:40:00,0.03
2015-01-12 07:41:00,0.02
2015-01-12 07:42:00,0.05
2015-01-12 07:43:00,0.03
2015-01-12 07:44:00,0.02
2015-01-12 07:45:00,0.02
2015-01-12 07:46:00,0.02
2015-01-12 07:47:00,0.03
2015-01-12 07:48:00,0.03
2015-01-12 07:49:00,0.05
2015-01-12 07:50:00,0.05
2015-01-12 07:51:00,0.03
2015-01-12 07:52:00,0.03
2015-01-12 07:53:00,0.03
2015-01-12 07:54:00,0.02
2015-01-12 07:55:00,0.01
2015-01-12 07:56:00,0.02
2015-01-12 07:57:00,0.01
2015-01-12 07:58:00,0.01
2015-01-12 07:59:00,0.01
2015-01-12 08:00:00,1.2
2015-01-12 08:00:00,0.02
2015-01-12 08:01:00,0.01
2015-01-12 08:02:00,0.01
2015-01-12 08:03:00,0.01
2015-01-12 08:05:00,0.01
2015-01-12 08:08:00,0.01
2015-01-12 08:13:00,0.01
2015-01-12 08:15:00,0.01
2015-01-12 08:16:00,0.01
2015-01-12 08:18:00,0.01
2015-01-12 08:20:00,0.01
2015-01-12 08:23:00,0.01
2015-01-12 08:24:00,0.01
2015-01-12 08:26:00,0.01
2015-01-12 08:36:00,0.01
2015-01-12 08:38:00,0.01
2015-01-12 08:55:00,0.01
2015-01-12 09:00:00,0.2
2015-01-12 12:03:00,0.01
2015-01-12 12:16:00,0.01
2015-01-12 12:21:00,0.01
2015-01-12 12:22:00,0.01
2015-01-12 12:26:00,0.01
2015-01-12 12:31:00,0.01
2015-01-12 12:35:00,0.01
2015-01-12 12:41:00,0.01
2015-01-12 13:00:00,0.1
2015-01-12 13:01:00,0.01
2015-01-12 13:16:00,0.01
2015-01-12 13:17:00,0.03
2015-01-12 13:20:00,0.01
2015-01-12 13:25:00,0.01
2015-01-12 13:27:00,0.01
2015-01-12 13:29:00,0.01
2015-01-12 13:30:00,0.01
2015-01-12 13:31:00,0.01
2015-01-12 13:33:00,0.01
2015-01-12 14:00:00,0.1
2015-01-12 14:05:00,0.01
2015-01-12 14:27:00,0.01
2015-01-12 15:05:00,0.01
2015-01-12 15:47:00,0.01
2015-01-12 16:50:00,0.01
2015-01-12 17:34:00,0.01
2015-01-12 17:55:00,0.01
