Date/Time (EST),1m Hourly Precipitation (in)
01/01/2002 01:00,0
01/01/2002 02:00,0
01/01/2002 03:00,0
01/01/2002 04:00,0
01/01/2002 05:00,0
01/01/2002 06:00,0
01/01/2002 07:00,0
01/01/2002 08:00,0
01/01/2002 09:00,0
01/01/2002 10:00,0
01/01/2002 11:00,0
01/01/2002 12:00,0
01/01/2002 13:00,0
01/01/2002 14:00,0
01/01/2002 15:00,0
01/01/2002 16:00,0
01/01/2002 17:00,0
01/01/2002 18:00,0
01/01/2002 19:00,0
01/01/2002 20:00,0
01/01/2002 21:00,0
01/01/2002 22:00,0
01/01/2002 23:00,0
01/01/2002 23:59,0
01/02/2002 01:00,0
01/02/2002 02:00,0
01/02/2002 03:00,0
01/02/2002 04:00,0
01/02/2002 05:00,0
01/02/2002 06:00,0
01/02/2002 07:00,0
01/02/2002 08:00,0
01/02/2002 09:00,0
01/02/2002 10:00,0
01/02/2002 11:00,0
01/02/2002 12:00,0
01/02/2002 13:00,0
01/02/2002 14:00,0
01/02/2002 15:00,0
01/02/2002 16:00,0
01/02/2002 17:00,0
01/02/2002 18:00,0
01/02/2002 19:00,0
01/02/2002 20:00,0
01/02/2002 21:00,0
01/02/2002 22:00,0
01/02/2002 23:00,0
01/02/2002 23:59,0
01/03/2002 01:00,0
01/03/2002 02:00,0
01/03/2002 03:00,0
01/03/2002 04:00,0
01/03/2002 05:00,0
01/03/2002 06:00,0
01/03/2002 07:00,0
01/03/2002 08:00,0
01/03/2002 09:00,0
01/03/2002 10:00,0
01/03/2002 11:00,0
01/03/2002 12:00,0
01/03/2002 13:00,0
01/03/2002 14:00,0
01/03/2002 15:00,0
01/03/2002 16:00,0
01/03/2002 17:00,0
01/03/2002 18:00,0
01/03/2002 19:00,0
01/03/2002 20:00,0
01/03/2002 21:00,0
01/03/2002 22:00,0
01/03/2002 23:00,0
01/03/2002 23:59,0
01/04/2002 01:00,0
01/04/2002 02:00,0
01/04/2002 03:00,0
01/04/2002 04:00,0
01/04/2002 05:00,0
01/04/2002 06:00,0
01/04/2002 07:00,0
01/04/2002 08:00,0
01/04/2002 09:00,0
01/04/2002 10:00,0
01/04/2002 11:00,0
01/04/2002 12:00,0
01/04/2002 13:00,0.05
01/04/2002 14:00,0.03
01/04/2002 15:00,0
01/04/2002 16:00,0
01/04/2002 17:00,0
01/04/2002 18:00,0
01/04/2002 19:00,0
01/04/2002 20:00,0
01/04/2002 21:00,0
01/04/2002 22:00,0
01/04/2002 23:00,0
01/04/2002 23:59,0
01/05/2002 01:00,0
01/05/2002 02:00,0
01/05/2002 03:00,0
01/05/2002 04:00,0
01/05/2002 05:00,0
01/05/2002 06:00,0
01/05/2002 07:00,0
01/05/2002 08:00,0
01/05/2002 09:00,0
01/05/2002 10:00,0
01/05/2002 11:00,0
01/05/2002 12:00,0
01/05/2002 13:00,0
01/05/2002 14:00,0
01/05/2002 15:00,0
01/05/2002 16:00,0
01/05/2002 17:00,0
01/05/2002 18:00,0
01/05/2002 19:00,0
01/05/2002 20:00,0
01/05/2002 21:00,0
01/05/2002 22:00,0
01/05/2002 23:00,0
01/05/2002 23:59,0
01/06/2002 01:00,0
01/06/2002 02:00,0
01/06/2002 03:00,0
01/06/2002 04:00,0
01/06/2002 05:00,0
01/06/2002 06:00,0
01/06/2002 07:00,0
01/06/2002 08:00,0
01/06/2002 09:00,0.08
01/06/2002 10:00,0.14
01/06/2002 11:00,0.24
01/06/2002 12:00,0.19
01/06/2002 13:00,0.1
01/06/2002 14:00,0.02
01/06/2002 15:00,0
01/06/2002 16:00,0
01/06/2002 17:00,0
01/06/2002 18:00,0
01/06/2002 19:00,0
01/06/2002 20:00,0
01/06/2002 21:00,0
01/06/2002 22:00,0
01/06/2002 23:00,0
01/06/2002 23:59,0
01/07/2002 01:00,0
01/07/2002 02:00,0
01/07/2002 03:00,0
01/07/2002 04:00,0
01/07/2002 05:00,0
01/07/2002 06:00,0
01/07/2002 07:00,0
01/07/2002 08:00,0
01/07/2002 09:00,0
01/07/2002 10:00,0
01/07/2002 11:00,0
01/07/2002 12:00,0
01/07/2002 13:00,0
01/07/2002 14:00,0
01/07/2002 15:00,0
01/07/2002 16:00,0
01/07/2002 17:00,0
01/07/2002 18:00,0
01/07/2002 19:00,0
01/07/2002 20:00,0
01/07/2002 21:00,0
01/07/2002 22:00,0
01/07/2002 23:00,0
01/07/2002 23:59,0
01/08/2002 01:00,0
01/08/2002 02:00,0
01/08/2002 03:00,0
01/08/2002 04:00,0
01/08/2002 05:00,0
01/08/2002 06:00,0
01/08/2002 07:00,0
01/08/2002 08:00,0
01/08/2002 09:00,0
01/08/2002 10:00,0
01/08/2002 11:00,0
01/08/2002 12:00,0
01/08/2002 13:00,0
01/08/2002 14:00,0
01/08/2002 15:00,0
01/08/2002 16:00,0
01/08/2002 17:00,0
01/08/2002 18:00,0
01/08/2002 19:00,0
01/08/2002 20:00,0
01/08/2002 21:00,0
01/08/2002 22:00,0
01/08/2002 23:00,0
01/08/2002 23:59,0
01/09/2002 01:00,0
01/09/2002 02:00,0
01/09/2002 03:00,0
01/09/2002 04:00,0
01/09/2002 05:00,0
01/09/2002 06:00,0
01/09/2002 07:00,0
01/09/2002 08:00,0
01/09/2002 09:00,0
01/09/2002 10:00,0
01/09/2002 11:00,0
01/09/2002 12:00,0
01/09/2002 13:00,0
01/09/2002 14:00,0
01/09/2002 15:00,0
01/09/2002 16:00,0
01/09/2002 17:00,0
01/09/2002 18:00,0
01/09/2002 19:00,0
01/09/2002 20:00,0
01/09/2002 21:00,0
01/09/2002 22:00,0
01/09/2002 23:00,0
01/09/2002 23:59,0
01/10/2002 01:00,0
01/10/2002 02:00,0
01/10/2002 03:00,0
01/10/2002 04:00,0
01/10/2002 05:00,0
01/10/2002 06:00,0
01/10/2002 07:00,0
01/10/2002 08:00,0
01/10/2002 09:00,0
01/10/2002 10:00,0
01/10/2002 11:00,0
01/10/2002 12:00,0
01/10/2002 13:00,0
01/10/2002 14:00,0
01/10/2002 15:00,0
01/10/2002 16:00,0
01/10/2002 17:00,0
01/10/2002 18:00,0
01/10/2002 19:00,0
01/10/2002 20:00,0
01/10/2002 21:00,0
01/10/2002 22:00,0
01/10/2002 23:00,0
01/10/2002 23:59,0
01/11/2002 01:00,0
01/11/2002 02:00,0
01/11/2002 03:00,0
01/11/2002 04:00,0
