ob,station,precip
2009-01-04 06:00:00,LAKE,0.762
2009-01-04 07:00:00,LAKE,0.762
2009-01-04 08:00:00,LAKE,3.556
2009-01-04 10:00:00,LAKE,1.778
2009-01-06 04:00:00,LAKE,0.762
2009-01-06 05:00:00,LAKE,4.318
2009-01-06 05:42:00,LAKE,0.762
2009-01-06 05:45:00,LAKE,0.762
2009-01-06 06:00:00,LAKE,10.414
2009-01-06 07:00:00,LAKE,5.588
2009-01-06 08:00:00,LAKE,1.27
2009-01-06 09:00:00,LAKE,1.778
2009-01-06 10:00:00,LAKE,1.778
2009-01-06 11:00:00,LAKE,1.016
2009-01-07 09:00:00,LAKE,2.032
2009-01-11 05:00:00,LAKE,0.762
2009-01-27 14:00:00,LAKE,0.762
2009-01-28 17:02:00,LAKE,0.762
2009-01-28 17:03:00,LAKE,1.27
2009-01-28 17:04:00,LAKE,1.524
2009-01-28 17:05:00,LAKE,1.016
2009-01-28 17:06:00,LAKE,0.762
2009-01-28 18:00:00,LAKE,9.398
2009-01-28 19:00:00,LAKE,0.762
2009-02-02 22:00:00,LAKE,1.016
2009-02-02 23:00:00,LAKE,1.778
2009-02-03 00:00:00,LAKE,0.762
2009-02-03 01:00:00,LAKE,1.778
2009-02-03 02:00:00,LAKE,1.016
2009-02-11 23:00:00,LAKE,1.27
2009-02-18 08:00:00,LAKE,3.81
2009-02-18 09:00:00,LAKE,3.556
2009-02-18 10:00:00,LAKE,5.08
2009-02-18 11:00:00,LAKE,1.778
2009-02-18 22:00:00,LAKE,1.27
2009-02-19 00:00:00,LAKE,1.778
2009-02-28 12:00:00,LAKE,1.27
2009-02-28 13:00:00,LAKE,1.778
2009-02-28 14:00:00,LAKE,1.778
2009-02-28 16:00:00,LAKE,1.27
2009-02-28 17:00:00,LAKE,0.762
2009-02-28 18:00:00,LAKE,1.016
2009-02-28 19:00:00,LAKE,1.016
2009-02-28 20:00:00,LAKE,0.762
2009-03-01 09:00:00,LAKE,2.032
2009-03-01 10:00:00,LAKE,0.762
2009-03-01 11:00:00,LAKE,2.54
2009-03-01 12:00:00,LAKE,4.318
2009-03-01 13:00:00,LAKE,3.302
2009-03-01 14:00:00,LAKE,5.08
2009-03-01 15:00:00,LAKE,4.572
2009-03-01 16:00:00,LAKE,2.54
2009-03-01 17:00:00,LAKE,2.286
2009-03-13 07:00:00,LAKE,2.286
2009-03-13 08:00:00,LAKE,1.27
2009-03-13 09:00:00,LAKE,1.27
2009-03-13 12:00:00,LAKE,1.524
2009-03-13 13:00:00,LAKE,2.032
2009-03-13 15:00:00,LAKE,1.27
2009-03-14 09:00:00,LAKE,1.778
2009-03-14 10:00:00,LAKE,1.016
2009-03-14 13:00:00,LAKE,1.016
2009-03-14 15:00:00,LAKE,1.778
2009-03-14 22:00:00,LAKE,0.762
2009-03-15 07:00:00,LAKE,0.762
2009-03-15 08:00:00,LAKE,0.762
2009-03-15 11:00:00,LAKE,1.524
2009-03-15 12:00:00,LAKE,2.794
2009-03-15 13:00:00,LAKE,2.032
2009-03-15 14:00:00,LAKE,1.778
2009-03-15 15:00:00,LAKE,0.762
2009-03-16 15:00:00,LAKE,0.762
2009-03-16 17:00:00,LAKE,0.762
2009-03-16 21:00:00,LAKE,0.762
2009-03-16 22:00:00,LAKE,2.286
2009-03-19 20:00:00,LAKE,0.762
2009-03-19 21:00:00,LAKE,2.54
2009-03-19 22:00:00,LAKE,3.556
2009-03-19 23:00:00,LAKE,3.302
2009-03-20 00:00:00,LAKE,2.032
2009-03-26 18:37:00,LAKE,0.762
2009-03-26 18:38:00,LAKE,0.762
2009-03-26 19:00:00,LAKE,6.096
2009-03-26 19:50:00,LAKE,0.762
2009-03-26 20:00:00,LAKE,5.842
2009-03-26 21:00:00,LAKE,2.032
2009-03-27 17:00:00,LAKE,1.778
2009-03-27 18:00:00,LAKE,3.048
2009-03-27 19:00:00,LAKE,1.778
2009-03-27 21:00:00,LAKE,3.048
2009-03-27 22:00:00,LAKE,2.794
2009-03-27 23:00:00,LAKE,1.524
2009-03-28 15:00:00,LAKE,1.524
2009-03-28 16:00:00,LAKE,6.604
2009-03-28 17:00:00,LAKE,1.016
2009-03-28 20:00:00,LAKE,6.35
2009-03-28 20:20:00,LAKE,0.762
2009-03-28 21:00:00,LAKE,8.128
2009-04-02 16:00:00,LAKE,1.27
2009-04-02 18:00:00,LAKE,3.048
2009-04-03 06:00:00,LAKE,0.762
2009-04-06 07:00:00,LAKE,0.762
2009-04-06 08:00:00,LAKE,3.556
2009-04-06 09:46:00,LAKE,0.762
2009-04-06 09:50:00,LAKE,1.016
2009-04-06 09:51:00,LAKE,0.762
2009-04-06 10:00:00,LAKE,3.81
2009-04-11 00:00:00,LAKE,1.524
2009-04-14 15:00:00,LAKE,2.032
2009-04-20 07:00:00,LAKE,3.302
2009-04-20 08:00:00,LAKE,2.032
2009-05-04 20:00:00,LAKE,1.016
2009-05-04 21:00:00,LAKE,1.27
2009-05-04 22:00:00,LAKE,2.54
2009-05-04 23:00:00,LAKE,1.27
2009-05-05 09:00:00,LAKE,3.556
2009-05-05 10:00:00,LAKE,1.778
2009-05-05 15:00:00,LAKE,1.524
2009-05-05 16:00:00,LAKE,1.016
2009-05-05 18:05:00,LAKE,1.27
2009-05-05 19:00:00,LAKE,2.032
2009-05-07 23:02:00,LAKE,1.27
2009-05-07 23:04:00,LAKE,1.016
2009-05-07 23:05:00,LAKE,1.27
2009-05-07 23:16:00,LAKE,1.27
2009-05-08 00:00:00,LAKE,9.652
2009-05-09 18:00:00,LAKE,0.762
2009-05-11 10:00:00,LAKE,1.27
2009-05-11 12:00:00,LAKE,1.27
2009-05-16 10:00:00,LAKE,1.27
2009-05-17 10:00:00,LAKE,3.81
2009-05-17 10:06:00,LAKE,0.762
2009-05-17 10:09:00,LAKE,0.762
2009-05-17 10:11:00,LAKE,0.762
2009-05-17 10:13:00,LAKE,1.27
2009-05-17 10:14:00,LAKE,1.016
2009-05-17 10:15:00,LAKE,1.016
2009-05-17 10:16:00,LAKE,1.27
2009-05-17 10:17:00,LAKE,1.016
2009-05-17 10:20:00,LAKE,0.762
2009-05-17 10:21:00,LAKE,0.762
2009-05-17 10:25:00,LAKE,0.762
2009-05-17 10:26:00,LAKE,0.762
2009-05-17 10:54:00,LAKE,0.762
2009-05-17 10:55:00,LAKE,0.762
2009-05-17 11:00:00,LAKE,28.956
2009-05-17 12:00:00,LAKE,6.35
2009-05-17 13:00:00,LAKE,1.27
2009-05-18 01:00:00,LAKE,0.762
2009-05-25 14:00:00,LAKE,2.032
2009-05-25 18:00:00,LAKE,0.762
2009-05-26 15:00:00,LAKE,1.27
