ob,precip
2009-05-17 10:03:00,0.508
2009-05-17 10:04:00,0.508
2009-05-17 10:05:00,0.508
2009-05-17 10:06:00,0.7619999999999999
2009-05-17 10:07:00,0.508
2009-05-17 10:08:00,0.508
2009-05-17 10:09:00,0.7619999999999999
2009-05-17 10:10:00,0.254
2009-05-17 10:11:00,0.7619999999999999
2009-05-17 10:12:00,0.508
2009-05-17 10:13:00,1.27
2009-05-17 10:14:00,1.016
2009-05-17 10:15:00,1.016
2009-05-17 10:16:00,1.27
2009-05-17 10:17:00,1.016
2009-05-17 10:18:00,0.508
2009-05-17 10:19:00,0.508
2009-05-17 10:20:00,0.7619999999999999
2009-05-17 10:21:00,0.7619999999999999
2009-05-17 10:22:00,0.508
2009-05-17 10:23:00,0.508
2009-05-17 10:24:00,0.508
2009-05-17 10:25:00,0.7619999999999999
2009-05-17 10:26:00,0.7619999999999999
2009-05-17 10:27:00,0.254
2009-05-17 10:28:00,0.508
2009-05-17 10:29:00,0.254
2009-05-17 10:30:00,0.254
2009-05-17 10:31:00,0.508
2009-05-17 10:32:00,0.254
2009-05-17 10:33:00,0.254
2009-06-04 21:47:00,0.254
2009-06-04 21:48:00,0.254
2009-06-04 21:49:00,0.254
2009-06-04 21:50:00,0.508
2009-06-04 21:51:00,0.254
2009-06-04 21:52:00,0.254
2009-06-04 21:53:00,0.254
2009-06-04 21:54:00,0.254
2009-06-04 21:55:00,0.254
2009-06-04 21:56:00,0.254
2009-06-04 21:57:00,0.254
2009-06-04 21:58:00,0.254
2009-06-04 21:59:00,0.254
2009-06-04 22:00:00,9.652
2009-06-04 22:00:00,0.508
2009-06-04 22:01:00,0.508
2009-06-04 22:02:00,0.254
2009-06-04 22:03:00,0.254
2009-06-04 22:04:00,0.254
2009-06-04 22:05:00,0.254
2009-06-04 22:06:00,0.254
2009-06-04 22:07:00,0.508
2009-06-04 22:08:00,0.508
2009-06-04 22:09:00,0.508
2009-06-04 22:10:00,0.254
2009-06-04 22:11:00,0.254
2009-06-04 22:12:00,0.254
2009-06-04 22:13:00,0.254
2009-06-04 22:14:00,0.254
2009-06-04 22:15:00,0.254
2009-06-16 05:52:00,0.254
2009-06-16 05:53:00,0.508
2009-06-16 05:54:00,0.254
2009-06-16 05:55:00,0.254
2009-06-16 05:56:00,0.254
2009-06-16 05:57:00,0.508
2009-06-16 05:58:00,1.016
2009-06-16 05:59:00,0.7619999999999999
2009-06-16 06:00:00,18.796
2009-06-16 06:00:00,1.016
2009-06-16 06:01:00,0.7619999999999999
2009-06-16 06:02:00,1.016
2009-06-16 06:03:00,0.508
2009-06-16 06:04:00,0.254
2009-06-16 06:05:00,0.508
2009-06-16 06:06:00,0.508
2009-06-16 06:07:00,0.254
2009-06-16 06:08:00,0.508
2009-06-16 06:09:00,0.254
2009-06-16 06:10:00,0.254
2009-06-16 06:11:00,0.254
2009-06-16 06:12:00,0.254
2009-06-16 06:13:00,0.254
2009-06-16 06:14:00,0.508
2009-06-16 06:15:00,1.27
2009-06-16 06:16:00,1.27
2009-06-16 06:17:00,1.016
2009-06-16 06:18:00,0.7619999999999999
2009-06-16 06:19:00,0.7619999999999999
2009-06-16 06:20:00,0.508
2009-06-16 06:21:00,0.7619999999999999
2009-06-16 06:22:00,0.508
2009-06-16 06:23:00,0.7619999999999999
2009-06-16 06:24:00,1.016
2009-06-16 06:25:00,1.27
2009-06-16 06:26:00,0.7619999999999999
2009-06-16 06:27:00,0.508
2009-06-16 06:28:00,0.508
2009-06-16 06:29:00,0.508
2009-06-16 06:30:00,0.508
2009-06-16 06:31:00,0.254
2009-06-16 06:32:00,0.254
2009-06-16 06:33:00,0.254
2009-06-16 06:34:00,0.254
2009-06-16 06:35:00,0.508
